model,abs_err,rmse,asset
EGARCH,0.6599905303175367,0.6599905303175367,SPY
GARCH11,0.7249677778208423,0.7249677778208423,SPY
GJRGARCH,0.7387408464754106,0.7387408464754106,SPY
EGARCH,0.8544880015257394,0.8544880015257394,BTC
GARCH11,1.096009167840434,1.096009167840434,BTC
GJRGARCH,1.0987131212936712,1.0987131212936712,BTC
